temp_eV,rho_gcc,mode,label,kross_scattering,kplanck,krosseland,krosseland_absorption,status,h5_path
9959.33984131731,6.8335388732923106e-15,fac-opacity-cowan-state,T9959p34_rho6p83354em15,0.2698764203695717,9.90891010180308e-19,0.26987642036957177,2.8768760470369286e-19,ok,/home/elads/STAR/full_grid_solar_opacity/runs/T9959p34_rho6p83354em15/fac-opacity-cowan-state/starout.h5
9959.33984131731,9.820327790631256e-15,fac-opacity-cowan-state,T9959p34_rho9p82033em15,0.2698764203695716,1.4239778854864887e-18,0.2698764203695716,4.1342674551209793e-19,ok,/home/elads/STAR/full_grid_solar_opacity/runs/T9959p34_rho9p82033em15/fac-opacity-cowan-state/starout.h5
9959.33984131731,1.4112576178114521e-14,fac-opacity-cowan-state,T9959p34_rho1p41126em14,0.2698764203695712,2.0463522393894807e-18,0.2698764203695712,5.941221911420647e-19,ok,/home/elads/STAR/full_grid_solar_opacity/runs/T9959p34_rho1p41126em14/fac-opacity-cowan-state/starout.h5
9959.33984131731,2.0280871538024598e-14,fac-opacity-cowan-state,T9959p34_rho2p02809em14,0.26987642036957166,2.9407448080957105e-18,0.2698764203695717,8.537934010170049e-19,ok,/home/elads/STAR/full_grid_solar_opacity/runs/T9959p34_rho2p02809em14/fac-opacity-cowan-state/starout.h5
9959.33984131731,2.914519256800997e-14,fac-opacity-cowan-state,T9959p34_rho2p91452em14,0.2698764203695698,4.226044976421247e-18,0.26987642036956977,1.2269578801082702e-18,ok,/home/elads/STAR/full_grid_solar_opacity/runs/T9959p34_rho2p91452em14/fac-opacity-cowan-state/starout.h5
9959.33984131731,4.188391254457488e-14,fac-opacity-cowan-state,T9959p34_rho4p18839em14,0.2698764203695706,6.073104667286343e-18,0.26987642036957055,1.7632195737799808e-18,ok,/home/elads/STAR/full_grid_solar_opacity/runs/T9959p34_rho4p18839em14/fac-opacity-cowan-state/starout.h5
9959.33984131731,6.019044567806669e-14,fac-opacity-cowan-state,T9959p34_rho6p01904em14,0.26987642036957904,8.727449950788908e-18,0.269876420369579,2.5338628269387613e-18,ok,/home/elads/STAR/full_grid_solar_opacity/runs/T9959p34_rho6p01904em14/fac-opacity-cowan-state/starout.h5
9959.33984131731,8.649836012976684e-14,fac-opacity-cowan-state,T9959p34_rho8p64984em14,0.2698764203695704,1.2541919863801886e-17,0.2698764203695703,3.641328613734241e-18,ok,/home/elads/STAR/full_grid_solar_opacity/runs/T9959p34_rho8p64984em14/fac-opacity-cowan-state/starout.h5
9959.33984131731,1.2430488295695167e-13,fac-opacity-cowan-state,T9959p34_rho1p24305em13,0.2698764203695698,1.802357135734429e-17,0.2698764203695698,5.232832536599808e-18,ok,/home/elads/STAR/full_grid_solar_opacity/runs/T9959p34_rho1p24305em13/fac-opacity-cowan-state/starout.h5
9959.33984131731,1.7863580192457348e-13,fac-opacity-cowan-state,T9959p34_rho1p78636em13,0.2698764203695702,2.590108793937821e-17,0.2698764203695702,7.519935984955898e-18,ok,/home/elads/STAR/full_grid_solar_opacity/runs/T9959p34_rho1p78636em13/fac-opacity-cowan-state/starout.h5
9959.33984131731,2.567135656310987e-13,fac-opacity-cowan-state,T9959p34_rho2p56714em13,0.2698764203695693,3.722165306227479e-17,0.2698764203695693,1.0806671714861315e-17,ok,/home/elads/STAR/full_grid_solar_opacity/runs/T9959p34_rho2p56714em13/fac-opacity-cowan-state/starout.h5
9959.33984131731,3.6891739544382357e-13,fac-opacity-cowan-state,T9959p34_rho3p68917em13,0.2698764203695685,5.3490168613435237e-17,0.2698764203695685,1.552996458763923e-17,ok,/home/elads/STAR/full_grid_solar_opacity/runs/T9959p34_rho3p68917em13/fac-opacity-cowan-state/starout.h5
9959.33984131731,5.301630411562758e-13,fac-opacity-cowan-state,T9959p34_rho5p30163em13,0.2698764203688186,7.686934750923572e-17,0.2698764203688186,2.2317723914196706e-17,ok,/home/elads/STAR/full_grid_solar_opacity/runs/T9959p34_rho5p30163em13/fac-opacity-cowan-state/starout.h5
9959.33984131731,7.618855973704612e-13,fac-opacity-cowan-state,T9959p34_rho7p61886em13,0.2698764203695643,1.1046723697354118e-16,0.2698764203695644,3.207232323848701e-17,ok,/home/elads/STAR/full_grid_solar_opacity/runs/T9959p34_rho7p61886em13/fac-opacity-cowan-state/starout.h5
9959.33984131731,1.0948889651276868e-12,fac-opacity-cowan-state,T9959p34_rho1p09489em12,0.26987642036956233,1.587504810255553e-16,0.26987642036956233,4.6090585296961486e-17,ok,/home/elads/STAR/full_grid_solar_opacity/runs/T9959p34_rho1p09489em12/fac-opacity-cowan-state/starout.h5
9959.33984131731,1.5734407502856082e-12,fac-opacity-cowan-state,T9959p34_rho1p57344em12,0.2698764203695581,2.2813824399468652e-16,0.2698764203695581,6.623621752996662e-17,ok,/home/elads/STAR/full_grid_solar_opacity/runs/T9959p34_rho1p57344em12/fac-opacity-cowan-state/starout.h5
9959.33984131731,2.26115695153675e-12,fac-opacity-cowan-state,T9959p34_rho2p26116em12,0.2698764203695528,3.278558374714872e-16,0.26987642036955284,9.518765000751811e-17,ok,/home/elads/STAR/full_grid_solar_opacity/runs/T9959p34_rho2p26116em12/fac-opacity-cowan-state/starout.h5
