rho_gcc,0.5,0.550440521959,0.605969536429,0.667100375847,0.734398158161,0.808485011008,0.890045822911,0.979834574661,1.07868130942,1.18749980597,1.30729602605,1.43917741387,1.58436313376,1.74419534064,1.9201515874,2.11385848402,2.32710673459,2.56186769128,2.82031157836,3.10482755456,3.41804579945,3.76286182785,4.14246325717,4.56035927495,5.02041307925,5.52687759158
1e-17,5.68876906204,1.05545613003,1.1326512662,2.48514340097,4.84996093496,7.27340320599,11.50726165,24.647232529,44.6144156632,75.3732353087,136.189620211,241.377137672,287.327228962,297.150886804,141.144216337,138.337683013,187.944713304,217.250804575,222.168573696,432.510199317,300.777908124,247.66591385,137.0037226,60.8764844333,59.2173924841,53.5270322402
1.4370779142e-17,7.43029500724,1.32600287075,1.16647034155,2.4956561638,4.99743848484,7.53835176415,11.682650258,24.5218317437,44.6344441172,75.3052801864,131.101437719,239.151857251,288.005743606,305.210047348,159.204069009,137.516925202,188.174212706,220.266962494,226.841261553,432.483080933,300.777866508,247.665947441,137.003656465,60.8765497016,59.2173556857,53.5270307699
2.06519293148e-17,9.55915031069,1.70728526216,1.21498311224,2.50757551748,5.12295670074,7.80671668404,11.9331815687,24.3744212229,44.6618469336,75.2619921755,127.358827979,236.111036179,288.590309856,311.196176863,180.603647438,137.41846027,188.201711941,223.197592952,232.135477875,432.518741423,300.778172501,247.798025677,137.003723055,60.9059735599,59.3095393885,53.5270380432
2.96784315039e-17,12.1138482528,2.24061130511,1.28456481921,2.52236727018,5.22601010145,8.0905876185,12.2569763529,24.2192093345,44.6982438612,75.2363643497,124.749827999,232.106728511,289.054163608,315.616086282,204.544567691,138.326254954,188.050765974,225.996757999,237.705670608,432.500577054,300.777817986,247.800396847,137.003733186,60.8889834408,59.2173087492,53.5270275823
4.26502184423e-17,15.1369890498,2.97995026711,1.38431311705,2.54191473668,5.30884062757,8.39991781437,12.646576334,24.0770235057,44.7450304861,75.2243529189,122.998674503,227.065530656,289.368811016,318.900219277,229.698228938,140.540005648,187.741259134,228.569730688,243.212453598,432.512147057,300.777944131,247.804089837,137.003736715,60.8764771698,59.2172731094,53.5270364804
6.12916869593e-17,18.6712711441,3.99389224912,1.52717428113,2.56875996488,5.3752586671,8.73889464347,13.0881559734,23.9715999997,44.8029038962,75.2240061907,121.84955098,221.057832338,289.505880761,321.393158222,254.457619185,144.399517175,187.297803813,230.810554118,248.399679556,432.482968258,300.777910742,247.80624102,137.003749994,60.8755826264,59.3094907584,53.5270308232
8.80809296532e-17,22.7417746325,5.36623694231,1.73149522019,2.60643178507,5.42970872728,9.10337282539,13.5636190902,23.9252505251,44.8713268894,75.2350110256,121.102968953,214.3522726,289.433915525,323.358099185,277.322787504,150.305954967,186.762792862,232.638295206,253.138820347,432.496801672,300.778027884,247.810279722,137.003746423,60.8765335083,59.2087077282,53.5270364037
1.26579158667e-16,27.3301228109,7.19411826972,2.02312561364,2.65990398517,5.47676703443,9.48069224804,14.0556252589,23.9561365256,44.948207614,75.2585064113,120.618742818,207.411570355,289.111975635,324.985235098,297.236336806,158.719974913,186.212629657,234.017078242,257.425298391,432.496832544,300.778030802,247.815751195,137.003761057,60.8757185672,59.2171535015,53.5270467962
1.81904113318e-16,32.3576684792,9.58343695709,2.43820217793,2.73624306848,5.521031655,9.85268380745,14.5535118353,24.0779604372,45.0302452918,75.2970712892,120.30436512,200.798926806,288.482872435,326.400120452,313.723565931,170.115961521,185.772740954,234.957383641,261.338275487,432.660127926,300.787931443,247.821042191,137.003803728,60.8765454193,59.2171149219,53.5270382181
