group_index,hnu_center_eV,hnu_low_eV,hnu_high_eV
0,0.0100937661133,0.01,0.010188411435
1,0.0102839442091,0.010188411435,0.0103803727569
2,0.0104777054777,0.0103803727569,0.0105759508496
3,0.0106751174301,0.0105759508496,0.0107752138571
4,0.0108762488495,0.0107752138571,0.0109782312077
5,0.0110811698148,0.0109782312077,0.0111850736372
6,0.0112899517254,0.0111850736372,0.0113958132147
7,0.011502667326,0.0113958132147,0.0116105233667
8,0.0117193907317,0.0116105233667,0.0118292789036
9,0.0119401974542,0.0118292789036,0.0120521560449
10,0.0121651644278,0.0120521560449,0.0122792324464
11,0.0123943700365,0.0122792324464,0.012510587227
12,0.0126278941409,0.012510587227,0.0127463009962
13,0.0128658181065,0.0127463009962,0.0129864558824
14,0.0131082248317,0.0129864558824,0.0132311355612
15,0.0133551987768,0.0132311355612,0.0134804252849
16,0.0136068259934,0.0134804252849,0.0137344119122
17,0.0138631941545,0.0137344119122,0.0139931839379
18,0.0141243925849,0.0139931839379,0.0142568315245
19,0.0143905122925,0.0142568315245,0.0145254465331
20,0.0146616459996,0.0145254465331,0.0147991225556
21,0.0149378881758,0.0147991225556,0.0150779549473
22,0.0152193350705,0.0150779549473,0.0153620408601
23,0.0155060847465,0.0153620408601,0.0156514792764
24,0.0157982371143,0.0156514792764,0.0159463710435
25,0.0160958939668,0.0159463710435,0.0162468189086
26,0.0163991590148,0.0162468189086,0.016552927555
27,0.0167081379231,0.016552927555,0.0168648036384
28,0.0170229383473,0.0168648036384,0.0171825558239
29,0.0173436699715,0.0171825558239,0.0175062948238
30,0.0176704445462,0.0175062948238,0.0178361334367
31,0.0180033759276,0.0178361334367,0.0181721865863
32,0.0183425801169,0.0181721865863,0.0185145713615
33,0.018688175301,0.0185145713615,0.0188634070573
34,0.0190402818936,0.0188634070573,0.0192188152166
35,0.0193990225771,0.0192188152166,0.0195809196719
36,0.0197645223452,0.0195809196719,0.0199498465893
37,0.0201369085469,0.0199498465893,0.0203257245117
38,0.0205163109304,0.0203257245117,0.0207086844039
39,0.0209028616887,0.0207086844039,0.0210988596985
40,0.0212966955054,0.0210988596985,0.0214963863417
41,0.0216979496014,0.0214963863417,0.0219014028415
42,0.0221067637835,0.0219014028415,0.0223140503153
43,0.0225232804923,0.0223140503153,0.0227344725393
44,0.0229476448521,0.0227344725393,0.0231628159988
45,0.0233800047217,0.0231628159988,0.0235992299389
46,0.0238205107457,0.0235992299389,0.0240438664166
47,0.0242693164069,0.0240438664166,0.0244968803541
48,0.0247265780799,0.0244968803541,0.0249584295921
49,0.0251924550858,0.0249584295921,0.0254286749455
50,0.0256671097471,0.0254286749455,0.0259077802592
51,0.0261507074451,0.0259077802592,0.0263959124648
52,0.0266434166767,0.0263959124648,0.0268932416393
53,0.0271454091136,0.0268932416393,0.0273999410642
54,0.027656859662,0.0273999410642,0.0279161872857
55,0.0281779465237,0.0279161872857,0.0284421601763
56,0.0287088512576,0.0284421601763,0.0289780429976
57,0.0292497588439,0.0289780429976,0.029524022464
58,0.0298008577476,0.029524022464,0.0300802888079
59,0.0303623399848,0.0300802888079,0.0306470358459
60,0.0309344011894,0.0306470358459,0.0312244610461
61,0.0315172406813,0.0312244610461,0.0318127655973
62,0.0321110615356,0.0318127655973,0.032412154479
63,0.0327160706539,0.032412154479,0.0330228365327
64,0.0333324788359,0.0330228365327,0.0336450245346
65,0.0339605008528,0.0336450245346,0.0342789352698
66,0.0346003555227,0.0342789352698,0.0349247896083
67,0.0352522657862,0.0349247896083,0.035582812581
68,0.0359164587845,0.035582812581,0.0362532334589
69,0.0365931659385,0.0362532334589,0.0369362858328
70,0.037282623029,0.0369362858328,0.0376322076945
71,0.0379850702795,0.0376322076945,0.0383412415199
72,0.0387007524395,0.0383412415199,0.0390636343533
73,0.0394299188697,0.0390636343533,0.0397996378937
74,0.0401728236293,0.0397996378937,0.0405495085825
75,0.0409297255641,0.0405495085825,0.0413135076925
76,0.0417008883968,0.0413135076925,0.0420919014194
77,0.0424865808191,0.0420919014194,0.0428849609742
78,0.0432870765851,0.0428849609742,0.0436929626779
79,0.0441026546067,0.0436929626779,0.0445161880576
80,0.0449335990509,0.0445161880576,0.0453549239448
81,0.0457801994385,0.0453549239448,0.0462094625753
82,0.0466427507456,0.0462094625753,0.0470801016907
83,0.0475215535056,0.0470801016907,0.0479671446426
84,0.0484169139145,0.0479671446426,0.048870900498
85,0.0493291439373,0.048870900498,0.0497916841472
86,0.0502585614169,0.0497916841472,0.0507298164133
87,0.0512054901846,0.0507298164133,0.051685624164
88,0.0521702601732,0.051685624164,0.0526594404258
89,0.0531532075315,0.0526594404258,0.0536516044994
90,0.054154674742,0.0536516044994,0.0546624620787
91,0.05517501074,0.0546624620787,0.0556923653708
92,0.0562145710349,0.0556923653708,0.0567416732185
93,0.0572737178345,0.0567416732185,0.057810751226
94,0.058352820171,0.057810751226,0.0588999718857
95,0.0594522540294,0.0588999718857,0.0600097147081
96,0.0605724024789,0.0600097147081,0.0611403663542
97,0.0617136558061,0.0611403663542,0.0622923207703
98,0.062876411651,0.0622923207703,0.0634659793248
99,0.0640610751456,0.0634659793248,0.0646617509486
100,0.0652680590551,0.0646617509486,0.0658800522771
101,0.0664977839217,0.0658800522771,0.0671213077958
102,0.067750678211,0.0671213077958,0.0683859499879
103,0.0690271784613,0.0683859499879,0.0696744194849
104,0.070327729436,0.0696744194849,0.0709871652206
105,0.0716527842783,0.0709871652206,0.0723246445872
106,0.073002804669,0.0723246445872,0.0736873235944
107,0.0743782609876,0.0736873235944,0.0750756770323
108,0.0757796324761,0.0750756770323,0.0764901886365
109,0.0772074074059,0.0764901886365,0.0779313512569
110,0.078662083248,0.0779313512569,0.079399667029
111,0.0801441668464,0.079399667029,0.0808956475493
112,0.0816541745946,0.0808956475493,0.0824198140532
113,0.0831926326155,0.0824198140532,0.083972697597
114,0.0847600769446,0.083972697597,0.0855548392424
115,0.0863570537174,0.0855548392424,0.0871667902456
116,0.0879841193586,0.0871667902456,0.088809112249
117,0.0896418407771,0.088809112249,0.0904823774769
118,0.0913307955627,0.0904823774769,0.0921871689351
119,0.0930515721878,0.0921871689351,0.0939240806138
120,0.0948047702122,0.0939240806138,0.0956937176947
121,0.0965910004922,0.0956937176947,0.0974966967617
122,0.0984108853932,0.0974966967617,0.0993336460161
123,0.100265059007,0.0993336460161,0.101205205495
124,0.102154167371,0.101205205495,0.103112027295
125,0.104078868698,0.103112027295,0.105054775797
126,0.106039833598,0.105054775797,0.107034127903
127,0.10803774532,0.107034127903,0.109050773267
128,0.110073299983,0.109050773267,0.111105414534
129,0.112147206823,0.111105414534,0.113198767593
130,0.11426018844,0.113198767593,0.115331561817
131,0.116412981046,0.115331561817,0.117504540323
132,0.118606334728,0.117504540323,0.119718460229
133,0.1208410137,0.119718460229,0.121974092918
134,0.12311779658,0.121974092918,0.124272224306
135,0.125437476652,0.124272224306,0.126613655117
136,0.12780086215,0.126613655117,0.128999201162
137,0.130208776533,0.128999201162,0.131429693623
138,0.132662058777,0.131429693623,0.13390597934
139,0.135161563663,0.13390597934,0.136428921112
140,0.13770816208,0.136428921112,0.138999397992
141,0.140302741322,0.138999397992,0.141618305596
142,0.142946205405,0.141618305596,0.144286556414
143,0.145639475374,0.144286556414,0.147005080128
144,0.148383489628,0.147005080128,0.149774823938
145,0.151179204249,0.149774823938,0.152596752889
146,0.154027593331,0.152596752889,0.155471850207
147,0.156929649319,0.155471850207,0.158401117647
148,0.159886383362,0.158401117647,0.161385575835
149,0.162898825654,0.161385575835,0.164426264628
150,0.165968025804,0.164426264628,0.167524243475
151,0.169095053194,0.167524243475,0.170680591786
152,0.172280997357,0.170680591786,0.173896409308
153,0.17552696835,0.173896409308,0.17717281651
154,0.178834097149,0.17717281651,0.18051095497
155,0.182203536036,0.18051095497,0.183911987776
156,0.185636459004,0.183911987776,0.187377099929
157,0.189134062167,0.187377099929,0.190907498757
158,0.192697564173,0.190907498757,0.194504414336
159,0.196328206631,0.194504414336,0.198169099918
160,0.200027254545,0.198169099918,0.201902832367
161,0.203795996752,0.201902832367,0.205706912604
162,0.207635746371,0.205706912604,0.209582666063
163,0.211547841264,0.209582666063,0.213531443149
164,0.215533644498,0.213531443149,0.217554619711
165,0.219594544823,0.217554619711,0.22165359752
166,0.223731957154,0.22165359752,0.225829804758
