rho_gcc,900.991534215,991.884500749,1091.94684463,1202.10358222,1323.37304649,1456.87630092,1603.84750301,1765.6453134,1943.76545581,2139.85454412,2355.72530437,2593.37333226,2854.99554128,3143.01047187,3460.08064932,3809.13719726,4193.40693415,4616.44220324,5082.1537119,5594.84668371,6159.26065772,6780.61330264,7464.64865101,8217.69019941,9046.69936533
1e-17,2.73620441762e-18,1.94288028798e-18,1.37768960028e-18,9.75671997111e-19,6.90168937562e-19,4.87718575874e-19,3.44354279103e-19,2.42952490654e-19,1.71305332314e-19,1.20741459806e-19,8.50674372525e-20,5.99111358823e-20,4.21791391872e-20,2.96857450881e-20,2.08864109142e-20,1.4690952113e-20,1.03302258682e-20,7.26170152421e-21,5.10284961645e-21,3.58427341518e-21,2.51629074616e-21,1.76540526754e-21,1.23769897645e-21,8.67036917173e-22,6.06849384148e-22
1.4370779142e-17,3.83894860718e-18,2.72474699622e-18,1.93198230635e-18,1.36857642479e-18,9.68633092471e-19,6.85043080953e-19,4.84155357943e-19,3.41977459514e-19,2.41430045396e-19,1.70391972198e-19,1.20211043392e-19,8.47767010367e-20,5.97648379718e-20,4.2116889686e-20,2.96692645294e-20,2.08928130266e-20,1.47070916469e-20,1.03487896716e-20,7.27883071054e-21,5.11695339361e-21,3.5949891318e-21,2.52391219174e-21,1.77054398524e-21,1.24097303615e-21,8.68983706884e-22
2.06519293148e-17,5.42368064987e-18,3.84835375909e-18,2.7285478986e-18,1.93321528215e-18,1.36881224918e-18,9.68618224688e-19,6.85064406433e-19,4.8428757065e-19,3.42207676481e-19,2.41746015436e-19,1.70716974601e-19,1.20511849261e-19,8.50378705698e-20,5.99821278122e-20,4.22914049298e-20,2.98057029634e-20,2.09972094049e-20,1.47853188619e-20,1.04059757053e-20,7.31959075595e-21,5.14519783712e-21,3.61396724358e-21,2.53629659736e-21,1.77835597023e-21,1.24569564002e-21
2.96784315039e-17,7.70625323381e-18,5.46697162295e-18,3.87616785978e-18,2.74675463382e-18,1.94541702195e-18,1.37721311867e-18,9.74539860678e-19,6.89320118728e-19,4.87390427305e-19,3.44529591571e-19,2.43460513403e-19,1.71974084118e-19,1.21428342572e-19,8.5702318774e-20,6.04604744405e-20,4.26335393049e-20,3.00489185029e-20,2.11687601204e-20,1.49048389371e-20,1.04880271149e-20,7.37488372895e-21,5.18164888101e-21,3.63747668273e-21,2.55106936708e-21,1.7873380675e-21
4.26502184423e-17,1.09935408306e-17,7.79837930931e-18,5.52934329465e-18,3.91876610105e-18,2.77612667852e-18,1.96587685251e-18,1.39157833202e-18,9.84688923512e-19,6.9652379715e-19,4.92573081335e-19,3.48224007182e-19,2.46079194177e-19,1.73823051756e-19,1.22728742005e-19,8.66126298129e-20,6.10949916628e-20,4.30740595237e-20,3.0353116217e-20,2.13768902536e-20,1.50455963998e-20,1.05817822258e-20,7.43618349668e-21,5.22098075421e-21,3.6621489094e-21,2.56610803053e-21
6.12916869593e-17,1.57578739541e-17,1.11777000483e-17,7.9255135907e-18,5.6172635681e-18,3.97969531621e-18,2.81846660513e-18,1.9953478656e-18,1.41211557247e-18,9.99012730646e-19,7.06595662483e-19,4.99602208322e-19,3.53105347276e-19,2.49458449288e-19,1.7615516375e-19,1.24332548993e-19,8.77121415115e-20,6.18466602183e-20,4.35858895847e-20,3.06990756086e-20,2.16084918344e-20,1.51986331727e-20,1.06812758897e-20,7.49979491605e-21,5.26083649788e-21,3.68648673511e-21
8.80809296532e-17,2.26439326949e-17,1.60623025831e-17,1.13889656563e-17,8.07204249234e-18,5.71887120356e-18,4.05018908821e-18,2.86736393775e-18,2.02925284868e-18,1.43561654306e-18,1.01540627495e-18,7.17950460668e-19,5.07429360449e-19,3.58484646918e-19,2.53144610385e-19,1.78673041578e-19,1.260476383e-19,8.88775345575e-20,6.26357574078e-20,4.4116629533e-20,3.10528898167e-20,2.1841505439e-20,1.53497596443e-20,1.07777519342e-20,7.56021066404e-21,5.29775677526e-21
1.26579158667e-16,3.25389734125e-17,2.30813372312e-17,1.6365870763e-17,1.15995246702e-17,8.21805687633e-18,5.82017701449e-18,4.12046005889e-18,2.9160897074e-18,2.06302713104e-18,1.45917644524e-18,1.03172468016e-18,7.29199210629e-19,5.15160176535e-19,3.6378220077e-19,2.5676317728e-19,1.81137887239e-19,1.27722490985e-19,9.00115925259e-20,6.33985146144e-20,4.46251163501e-20,3.13877670784e-20,2.20586977367e-20,1.54884106321e-20,1.08645786619e-20,7.61327079977e-21
1.81904113318e-16,4.67576897308e-17,3.31673966386e-17,2.35175044259e-17,1.66684189965e-17,1.18093388104e-17,8.3636321902e-18,5.92115769456e-18,4.19048076327e-18,2.96462504515e-18,2.09688390038e-18,1.48262705754e-18,1.0478899622e-18,7.40309011945e-19,5.22773241448e-19,3.68982436742e-19,2.60305425577e-19,1.83544843068e-19,1.29352270729e-19,9.11077702514e-20,6.41292769372e-20,4.51063795919e-20,3.16999016666e-20,2.2257958131e-20,1.56131925981e-20,1.09408333657e-20
