rho_gcc,900.991534215,991.884500749,1091.94684463,1202.10358222,1323.37304649,1456.87630092,1603.84750301,1765.6453134,1943.76545581,2139.85454412,2355.72530437,2593.37333226,2854.99554128,3143.01047187,3460.08064932,3809.13719726,4193.40693415,4616.44220324,5082.1537119,5594.84668371,6159.26065772,6780.61330264,7464.64865101,8217.69019941,9046.69936533
1e-17,7.6067459913e-18,5.42024646708e-18,3.85793567178e-18,2.74312970919e-18,1.94870673111e-18,1.3833157741e-18,9.81376934316e-19,6.95912295702e-19,4.93333539277e-19,3.49671521876e-19,2.4783211538e-19,1.75664859544e-19,1.24529075189e-19,8.82975353592e-20,6.26241307489e-20,4.44292090628e-20,3.15310629549e-20,2.23850390018e-20,1.589749114e-20,1.12940598265e-20,8.02636592504e-21,5.70596027705e-21,4.0576268776e-21,2.88629627687e-21,2.05366406176e-21
1.4370779142e-17,1.06901704708e-17,7.61360104452e-18,5.41823395739e-18,3.85315144329e-18,2.73844524756e-18,1.9452277315e-18,1.38121686439e-18,9.80447953742e-19,6.95831624645e-19,4.9379682039e-19,3.50420623593e-19,2.48693647913e-19,1.76519848525e-19,1.25314060013e-19,8.89815047377e-20,6.31984892368e-20,4.48979364312e-20,3.19052901579e-20,2.26786346045e-20,1.61245725412e-20,1.14676395547e-20,8.15772897032e-21,5.8045487909e-21,4.13109894906e-21,2.94073848455e-21
2.06519293148e-17,1.51212990574e-17,1.07656308203e-17,7.66051410286e-18,5.44835136068e-18,3.87337300903e-18,2.75275093318e-18,1.95582881486e-18,1.38935744632e-18,9.86845252446e-19,7.00922703414e-19,4.97853408587e-19,3.5364563133e-19,2.51237528985e-19,1.78511740361e-19,1.26860545024e-19,9.01723836828e-20,6.41078304087e-20,4.55870628743e-20,3.24239422669e-20,2.30665711981e-20,1.64131279695e-20,1.16811800971e-20,8.31505314663e-21,5.92000244405e-21,4.21554861289e-21
2.96784315039e-17,2.15035635648e-17,1.53062325012e-17,1.08909497532e-17,7.74671843541e-18,5.50864668117e-18,3.91628795021e-18,2.78375068558e-18,1.97849747271e-18,1.40609254579e-18,9.99287175426e-19,7.10204752548e-19,5.04790603454e-19,3.58825704366e-19,2.55101286381e-19,1.81387390485e-19,1.28995499772e-19,9.17523198255e-20,6.52734245454e-20,4.64443782816e-20,3.30527013138e-20,2.35264563209e-20,1.67486045222e-20,1.19253242802e-20,8.49235119329e-21,6.0485237843e-21
4.26502184423e-17,3.06949303402e-17,2.18462771922e-17,1.5544419486e-17,1.1057796248e-17,7.86456361017e-18,5.5926006755e-18,3.97651895401e-18,2.82721772526e-18,2.01001962953e-18,1.42904140071e-18,1.01603421127e-18,7.22442794475e-19,5.13734083616e-19,3.65361353225e-19,2.59874204242e-19,1.84870103135e-19,1.31532977256e-19,9.35984693148e-20,6.66146439627e-20,4.74173821802e-20,3.37576034914e-20,2.40363915583e-20,1.71170222286e-20,1.21911841849e-20,8.68400954128e-21
6.12916869593e-17,4.40065677611e-17,3.13193535815e-17,2.22849070554e-17,1.58533405618e-17,1.12760137513e-17,8.01925767982e-18,5.70257575523e-18,4.0549068377e-18,2.88323119847e-18,2.05013890367e-18,1.45782933801e-18,1.03671796863e-18,7.37314143281e-19,5.24434355885e-19,3.73063541901e-19,2.65420140754e-19,1.88862472749e-19,1.34406360386e-19,9.56658951526e-20,6.81016749502e-20,4.84865477193e-20,3.45259182631e-20,2.45882500267e-20,1.75132256459e-20,1.24755282935e-20
8.80809296532e-17,6.32370019156e-17,4.50057205297e-17,3.20233896367e-17,2.27813294826e-17,1.62037586219e-17,1.15238152068e-17,8.19473682258e-18,5.82702102209e-18,4.14330321286e-18,2.94613065132e-18,2.09496456223e-18,1.48981318166e-18,1.05955819185e-18,7.53640730346e-19,5.36113732276e-19,3.81424698746e-19,2.71407198628e-19,1.93150657131e-19,1.37478289743e-19,9.7866784331e-20,6.967857496e-20,4.96162170779e-20,3.53351049675e-20,2.51677973593e-20,1.79282649114e-20
1.26579158667e-16,9.08704269463e-17,6.46725860769e-17,4.6017342137e-17,3.27367276058e-17,2.32848852863e-17,1.65598631991e-17,1.17759926841e-17,8.37357653616e-18,5.95405665936e-18,4.23369692435e-18,3.01055012032e-18,2.14092910122e-18,1.52263721186e-18,1.08302141861e-18,7.70425384004e-19,5.48129716358e-19,3.90028824618e-19,2.77569835206e-19,1.97565382444e-19,1.40641221797e-19,1.00132967729e-19,7.13020339159e-20,5.077910434e-20,3.61679740873e-20,2.57642502094e-20
1.81904113318e-16,1.30578297789e-16,9.29329942619e-17,6.61261121977e-17,4.70423358064e-17,3.34603132327e-17,2.37966049667e-17,1.69222472488e-17,1.20329916148e-17,8.55613265165e-18,6.08395654639e-18,4.32627156525e-18,3.07660416836e-18,2.18809953012e-18,1.55635568725e-18,1.10714234392e-18,7.87693404639e-19,5.60494635411e-19,3.98885119525e-19,2.83914220681e-19,2.02110826433e-19,1.43897949881e-19,1.02466036256e-19,7.29732148192e-20,5.1976016184e-20,3.70251319592e-20
2.61410383751e-16,1.87636108111e-16,1.3354163285e-16,9.50214299005e-17,6.75989154666e-17,4.80820963118e-17,3.41956544965e-17,2.43173606583e-17,1.72915672761e-17,1.22953358893e-17,8.74280828561e-18,6.21700358263e-18,4.42119654304e-18,3.14439204895e-18,2.23655592e-18,1.59101967107e-18,1.13195817864e-18,8.05463034811e-19,5.73222047305e-19,4.08002664984e-19,2.90446502607e-19,2.06791081604e-19,1.47250807896e-19,1.0486769036e-19,7.46932938449e-20,5.32078334829e-20
